,species,uniqueID,region,extrBatch,age,AGE,sex,rand,Species,group
X2018.06.06_brain_HUM_CB_MS167_h.neg,HS,B141,CB,4,221,221,M,167,hum,PR
X2018.06.06_brain_HUM_CB_MS175_h.neg,HS,B33,CB,4,0,0,M,175,hum,PR
X2018.06.06_brain_HUM_CB_MS180_h.neg,HS,B147,CB,4,2920,2920,F,180,hum,PR
X2018.06.06_brain_HUM_CB_MS186_h.neg,HS,B56,CB,4,30,30,F,186,hum,PR
X2018.06.06_brain_HUM_CB_MS194_h.neg,HS,B10,CB,5,365,1?,F,194,hum,PR
X2018.06.06_brain_HUM_CB_MS200_h.neg,HS,B27,CB,5,2,2,M,200,hum,PR
X2018.06.06_brain_HUM_CB_MS211_h.neg,HS,B146,CB,5,180,180,F,211,hum,PR
X2018.06.06_brain_HUM_CB_MS212_h.neg,HS,B57,CB,5,204,204,M,212,hum,PR
X2018.06.06_brain_HUM_CB_MS215_h.neg,HS,B22,CB,5,18,18,F,215,hum,PR
X2018.06.06_brain_HUM_CB_MS226_h.neg,HS,B40,CB,5,4,4,F,226,hum,PR
X2018.06.06_brain_HUM_CB_MS233_h.neg,HS,B70,CB,5,242,242,F,233,hum,PR
X2018.06.06_brain_HUM_CB_MS236_h.neg,HS,B26,CB,5,0,0,F,236,hum,PR
X2018.06.06_brain_MAC_CB_MS3_h.neg,MM,B84,CB,1,20,20,M,3,mac,PR
X2018.06.06_brain_MAC_CB_MS13_h.neg,MM,B96,CB,1,179,179,M,13,mac,PR
X2018.06.06_brain_MAC_CB_MS29_h.neg,MM,B100,CB,1,207,207,M,29,mac,PR
X2018.06.06_brain_MAC_CB_MS51_h.neg,MM,B102,CB,2,215,215,M,51,mac,PR
X2018.06.06_brain_MAC_CB_MS61_h.neg,MM,B88,CB,2,23,23,M,61,mac,PR
X2018.06.06_brain_MAC_CB_MS75_h.neg,MM,B112,CB,2,2,2,F,75,mac,PR
X2018.06.06_brain_MAC_CB_MS84_h.neg,MM,B94,CB,2,153,153,M,84,mac,PR
X2018.06.06_brain_MAC_CB_MS107_h.neg,MM,B110,CB,3,1,1,M,107,mac,PR
X2018.06.06_brain_MAC_CB_MS117_h.neg,MM,B108,CB,3,353,353,M,117,mac,PR
X2018.06.06_brain_MAC_CB_MS125_h.neg,MM,B116,CB,3,7,7,M,125,mac,PR
X2018.06.06_brain_MAC_CB_MS140_h.neg,MM,B90,CB,3,24,24,M,140,mac,PR
X2018.06.06_brain_MAC_CB_MS155_h.neg,MM,B92,CB,4,151,151,M,155,mac,PR
X2018.06.06_brain_MAC_CB_MS164_h.neg,MM,B114,CB,4,0.75,0.75,M,164,mac,PR
X2018.06.06_brain_MAC_CB_MS174_h.neg,MM,B98,CB,4,182,182,M,174,mac,PR
X2018.06.06_brain_MAC_CB_MS195_h.neg,MM,B106,CB,5,310,310,M,195,mac,PR
X2018.06.06_brain_MAC_CB_MS203_h.neg,MM,B104,CB,5,237,237,M,203,mac,PR
X2018.06.06_brain_MAC_CB_MS213_h.neg,MM,B118,CB,5,0.5,0.5,M,213,mac,PR
X2018.06.06_brain_MAC_CB_MS219_h.neg,MM,B82,CB,5,16,16,M,219,mac,PR
X2018.06.06_brain_MAC_CB_MS237_h.neg,MM,B86,CB,5,22,22,M,237,mac,PR
X2018.06.06_brain_GOAT_CB_MS8_h.neg,CA,B240,CB,1,40,40,F,8,goat,CA
X2018.06.06_brain_GOAT_CB_MS24_h.neg,CA,B234,CB,1,20,20,F,24,goat,CA
X2018.06.06_brain_GOAT_CB_MS48_h.neg,CA,B228,CB,1,70,70,F,48,goat,CA
X2018.06.06_brain_GOAT_CB_MS65_h.neg,CA,B232,CB,2,60,60,F,65,goat,CA
X2018.06.06_brain_GOAT_CB_MS87_h.neg,CA,B216,CB,2,5,5,F,87,goat,CA
X2018.06.06_brain_GOAT_CB_MS96_h.neg,CA,B222,CB,2,56,56,M,96,goat,CA
X2018.06.06_brain_GOAT_CB_MS120_h.neg,CA,B218,CB,3,12,12,M,120,goat,CA
X2018.06.06_brain_GOAT_CB_MS144_h.neg,CA,B226,CB,3,86,86,M,144,goat,CA
X2018.06.06_brain_GOAT_CB_MS162_h.neg,CA,B236,CB,4,25,25,M,162,goat,CA
X2018.06.06_brain_GOAT_CB_MS192_h.neg,CA,B220,CB,4,45,45,F,192,goat,CA
X2018.06.06_brain_GOAT_CB_MS201_h.neg,CA,B238,CB,5,31,31,F,201,goat,CA
X2018.06.06_brain_GOAT_CB_MS210_h.neg,CA,B230,CB,5,55,55,M,210,goat,CA
X2018.06.06_brain_GOAT_CB_MS227_h.neg,CA,B224,CB,5,75,75,M,227,goat,CA
X2018.06.06_brain_PIG_CB_MS15_h.neg,SS,B151,CB,1,28,,F,15,pig,SS
X2018.06.06_brain_PIG_CB_MS46_h.neg,SS,B165,CB,1,5,,F,46,pig,SS
X2018.06.06_brain_PIG_CB_MS63_h.neg,SS,B153,CB,2,62,,F,63,pig,SS
X2018.06.06_brain_PIG_CB_MS94_h.neg,SS,B163,CB,2,5,,F,94,pig,SS
X2018.06.06_brain_PIG_CB_MS102_h.neg,SS,B167,CB,3,8,,F,102,pig,SS
X2018.06.06_brain_PIG_CB_MS128_h.neg,SS,B157,CB,3,51,,F,128,pig,SS
X2018.06.06_brain_PIG_CB_MS160_h.neg,SS,B159,CB,4,69,,F,160,pig,SS
X2018.06.06_brain_PIG_CB_MS190_h.neg,SS,B155,CB,4,57,,M,190,pig,SS
X2018.06.06_brain_PIG_CB_MS198_h.neg,SS,B161,CB,5,40,,M,198,pig,SS
X2018.06.06_brain_PIG_CB_MS224_h.neg,SS,B169,CB,5,8,,M,224,pig,SS
